"Time (seconds)","Speed (mph)"
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0.1
10.5,0.1
10.6,0.1
10.7,0.2
10.8,0.2
10.9,0.2
11,0.3
11.1,0.3
11.2,0.3
11.3,0.4
11.4,0.4
11.5,0.4
11.6,0.5
11.7,0.5
11.8,0.5
11.9,0.6
12,0.6
12.1,0.6
12.2,0.7
12.3,0.9
12.4,1.1
12.5,1.4
12.6,1.6
12.7,1.8
12.8,2.1
12.9,2.3
13,2.5
13.1,2.8
13.2,3
13.3,3.2
13.4,3.4
13.5,3.7
13.6,3.9
13.7,4.1
13.8,4.3
13.9,4.5
14,4.7
14.1,4.9
14.2,5.2
14.3,5.4
14.4,5.6
14.5,5.8
14.6,6
14.7,6.2
14.8,6.4
14.9,6.7
15,6.9
15.1,7.1
15.2,7.3
15.3,7.8
15.4,8.3
15.5,8.8
15.6,9.2
15.7,9.7
15.8,10.2
15.9,10.7
16,11.2
16.1,11.7
16.2,12.2
16.3,12.3
16.4,12.4
16.5,12.6
16.6,12.7
16.7,12.9
16.8,13
16.9,13.2
17,13.3
17.1,13.4
17.2,13.6
17.3,13.7
17.4,13.9
17.5,14
17.6,14.2
17.7,14.3
17.8,14.4
17.9,14.6
18,14.7
18.1,14.9
18.2,15
18.3,15.3
18.4,15.6
18.5,15.9
18.6,16.2
18.7,16.5
18.8,16.8
18.9,17.1
19,17.4
19.1,17.7
19.2,18
19.3,18.2
19.4,18.4
19.5,18.7
19.6,18.9
19.7,19.2
19.8,19.4
19.9,19.6
20,19.9
20.1,20.1
20.2,20.3
20.3,20.4
20.4,20.4
20.5,20.4
20.6,20.5
20.7,20.5
20.8,20.5
20.9,20.6
21,20.6
