"Time (seconds)","Speed (mph)"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0.24
22,1.25
23,3.56
24,6.2
25,8.81
26,11.4
27,13.74
28,15.89
29,17.26
30,18.15
31,19.06
32,19.94
33,20.59
34,20.59
35,20.08
36,19.44
37,18.7
38,17.82
39,16.92
40,15.99
41,15.15
42,14.27
43,13.39
44,12.46
45,11.58
46,10.72
47,9.87
48,8.63
49,6
50,3.19
51,2.91
52,4.25
53,5.96
54,7.92
55,10.06
56,12.32
57,14.65
58,15.54
59,14.56
60,13.2
61,11.98
62,9.6
63,7.1
64,4.64
65,1.77
66,0.46
67,0.12
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0.59
82,2.37
83,4.85
84,7.09
85,8.88
86,10.35
87,10.77
88,9.25
89,6.14
90,3.74
91,2.24
92,1.28
93,0.53
94,0.13
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0.3
109,1.95
110,5.05
111,8.07
112,10.95
113,13.52
114,15.81
115,17.83
116,17.84
117,15.86
118,13.43
119,10.92
120,8.66
121,6.7
122,4.61
123,3.01
124,2.02
125,1.29
126,0.56
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0.19
141,1.25
142,3.29
143,5.97
144,8.57
145,10.25
146,11.7
147,12.95
148,14.05
149,15.04
150,15.5
151,15.55
152,15.57
153,15.98
154,16.32
155,16.47
156,16.23
157,15.7
158,14.69
159,13.89
160,13.04
161,10.81
162,7.43
163,3.53
164,1.59
165,0.54
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0.1
180,0.97
181,4.1
182,7.67
183,10.5
184,13.15
185,15.57
186,17.64
187,19.46
188,21.04
189,22.45
190,23.82
191,25.03
192,26.23
193,27.47
194,28.58
195,29.64
196,30.61
197,31.62
198,32.59
199,33.03
200,31.78
201,29.22
202,26.44
203,23.16
204,19.3
205,15.8
206,12.55
207,8.14
208,4.51
209,1.95
210,0.42
211,0.14
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0.51
226,1.88
227,4.14
228,6.64
229,9.1
230,11.29
231,12.56
232,13.63
233,14.76
234,15.75
235,16.43
236,17.03
237,17.59
238,18.06
239,18.43
240,18.97
241,19.61
242,20.06
243,20.6
244,20.99
245,21.24
246,21.42
247,21.68
248,21.8
249,21.81
250,21.77
251,21.58
252,21.17
253,20.77
254,20.33
255,20.06
256,19.78
257,19.55
258,19.48
259,19.4
260,19.16
261,18.77
262,18.2
263,17
264,15.63
265,13.45
266,9.86
267,6.06
268,1.76
269,0.1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0.17
284,0.49
285,1.01
286,1.76
287,2.73
288,4.75
289,7.43
290,10.08
291,12.75
292,15.43
293,17.79
294,19.89
295,21.82
296,23.46
297,25.1
298,26.59
299,27.92
300,28.77
301,29.08
302,28.66
303,26.98
304,25.19
305,23.35
306,21.44
307,19.34
308,16.64
309,13.18
310,9.97
311,6.82
312,4.08
313,1.6
314,0.25
315,0.1
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0.15
329,1.3
330,4.11
331,6.81
332,8.63
333,10.15
334,11.53
335,12.73
336,13.7
337,14.42
338,15.17
339,16.06
340,16.98
341,17.8
342,18.62
343,19.41
344,20.15
345,20.97
346,21.7
347,22.43
348,23.15
349,23.78
350,24.29
351,24.71
352,24.86
353,24.58
354,24.01
355,23.57
356,23
357,20.96
358,17.55
359,13.88
360,9.77
361,4.83
362,1.11
363,0.1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0.98
377,4.21
378,7.76
379,10.46
380,12.82
381,14.99
382,16.95
383,18.83
384,20.66
385,22.18
386,23.58
387,24.76
388,25.93
389,27.11
390,28.19
391,29.3
392,30.35
393,31.25
394,32.14
